Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2013,Convention & Cultural Services,Zoo Fund,"Charges, Fees, and Services",50000,R,Other Governmental Funds,1
2013,Convention & Cultural Services,Zoo Fund,Labor/Supply Offset,50000,E,Other Governmental Funds,2
2013,Convention & Cultural Services,Fairytale Town,"Charges, Fees, and Services",50000,R,Other Governmental Funds,3
2013,Convention & Cultural Services,Fairytale Town,Labor/Supply Offset,25000,E,Other Governmental Funds,4
2013,Convention & Cultural Services,Fairytale Town,Other Services and Supplies,25000,E,Other Governmental Funds,5
2013,Convention & Cultural Services,Sacramento Marina Fund,"Charges, Fees, and Services",262500,R,Enterprise Funds,6
2013,Convention & Cultural Services,Sacramento Marina Fund,Debt Service,1239112,E,Enterprise Funds,7
2013,Convention & Cultural Services,Sacramento Marina Fund,Employee Services,432594,E,Enterprise Funds,8
2013,Convention & Cultural Services,Sacramento Marina Fund,"Interest, Rents, Concessions",18000,R,Enterprise Funds,9
2013,Convention & Cultural Services,Sacramento Marina Fund,Intergovernmental,18000,R,Enterprise Funds,10
2013,Convention & Cultural Services,Sacramento Marina Fund,Labor/Supply Offset,59308,E,Enterprise Funds,11
2013,Convention & Cultural Services,Sacramento Marina Fund,Licenses  Permits,1117000,R,Enterprise Funds,12
2013,Convention & Cultural Services,Sacramento Marina Fund,Operating Transfers,183300,E,Enterprise Funds,13
2013,Convention & Cultural Services,Sacramento Marina Fund,Other Services and Supplies,388755,E,Enterprise Funds,14
2013,Convention & Cultural Services,Sacramento Marina Fund,Property,1000,E,Enterprise Funds,15
2013,Convention & Cultural Services,Community Center Fund,"Charges, Fees, and Services",6359000,R,Enterprise Funds,16
2013,Convention & Cultural Services,Community Center Fund,Employee Services,6802942,E,Enterprise Funds,17
2013,Convention & Cultural Services,Community Center Fund,"Interest, Rents, Concessions",577000,R,Enterprise Funds,18
2013,Convention & Cultural Services,Community Center Fund,Intergovernmental,65000,R,Enterprise Funds,19
2013,Convention & Cultural Services,Community Center Fund,Labor/Supply Offset,1051281,E,Enterprise Funds,20
2013,Convention & Cultural Services,Community Center Fund,Operating Transfers,1517200,E,Enterprise Funds,21
2013,Convention & Cultural Services,Community Center Fund,Other Services and Supplies,4792729,E,Enterprise Funds,22
2013,Convention & Cultural Services,Community Center Fund,Other Taxes,16024000,R,Enterprise Funds,23
2013,Convention & Cultural Services,Community Center Fund,Property,122000,E,Enterprise Funds,24
2013,Economic Development,General Fund,"Charges, Fees, and Services",1230251,R,General Fund,25
2013,Economic Development,General Fund,Employee Services,1391181,E,General Fund,26
2013,Economic Development,General Fund,Labor/Supply Offset,-47144,E,General Fund,27
2013,Economic Development,General Fund,Other Services and Supplies,1481374,E,General Fund,28
2013,Economic Development,General Fund,Property,2000,E,General Fund,29
2013,Economic Development,Parking Fund,Labor/Supply Offset,50000,E,Enterprise Funds,30
2013,Parks & Recreation,General Fund,"Charges, Fees, and Services",527072,R,General Fund,31
2013,Parks & Recreation,General Fund,Employee Services,16628131,E,General Fund,32
2013,Parks & Recreation,General Fund,Intergovernmental,219780,R,General Fund,33
2013,Parks & Recreation,General Fund,Labor/Supply Offset,-10928187,E,General Fund,34
2013,Parks & Recreation,General Fund,Licenses  Permits,187500,R,General Fund,35
2013,Parks & Recreation,General Fund,Operating Transfers,552702,E,General Fund,36
2013,Parks & Recreation,General Fund,Other Services and Supplies,7742126,E,General Fund,37
2013,Parks & Recreation,General Fund,Property,82789,E,General Fund,38
2013,Parks & Recreation,Laguna Creek Maint District,Labor/Supply Offset,126524,E,Other Governmental Funds,39
2013,Parks & Recreation,Neighborhood Water Quality Dst,Labor/Supply Offset,23944,E,Other Governmental Funds,40
2013,Parks & Recreation,N Natomas Lands Cfd 3,Labor/Supply Offset,745549,E,Other Governmental Funds,41
2013,Parks & Recreation,Citywide Lndscpng&Lghting Dist,Labor/Supply Offset,3243814,E,Other Governmental Funds,42
2013,Parks & Recreation,Neighborhood Park Maint CFD,"Charges, Fees, and Services",1013085,R,Other Governmental Funds,43
2013,Parks & Recreation,Neighborhood Park Maint CFD,Labor/Supply Offset,976569,E,Other Governmental Funds,44
2013,Parks & Recreation,Start,"Charges, Fees, and Services",10000,R,Other Governmental Funds,45
2013,Parks & Recreation,Start,Employee Services,5037322,E,Other Governmental Funds,46
2013,Parks & Recreation,Start,Intergovernmental,5208199,R,Other Governmental Funds,47
2013,Parks & Recreation,Start,Labor/Supply Offset,350,E,Other Governmental Funds,48
2013,Parks & Recreation,Start,Operating Transfers,-552702,E,Other Governmental Funds,49
2013,Parks & Recreation,Start,Other Services and Supplies,704303,E,Other Governmental Funds,50
2013,Mayor/Council,General Fund,Employee Services,3435866,E,General Fund,51
2013,Mayor/Council,General Fund,Intergovernmental,83169,R,General Fund,52
2013,Mayor/Council,General Fund,Labor/Supply Offset,-1564995,E,General Fund,53
2013,Mayor/Council,General Fund,Other Services and Supplies,492026,E,General Fund,54
2013,Mayor/Council,General Fund,Property,2010,E,General Fund,55
2013,Mayor/Council,Interdepartmental Service Fund,Labor/Supply Offset,1221495,E,General Fund,56
2013,Mayor/Council,Risk Management,Labor/Supply Offset,344000,E,Internal Service Funds,57
2013,City Manager,General Fund,Employee Services,2050087,E,General Fund,58
2013,City Manager,General Fund,Labor/Supply Offset,-1098950,E,General Fund,59
2013,City Manager,General Fund,Other Services and Supplies,554395,E,General Fund,60
2013,City Manager,General Fund,Property,16826,E,General Fund,61
2013,City Manager,Interdepartmental Service Fund,Labor/Supply Offset,1103006,E,General Fund,62
2013,City Attorney,General Fund,Employee Services,6067305,E,General Fund,63
2013,City Attorney,General Fund,Intergovernmental,52000,R,General Fund,64
2013,City Attorney,General Fund,Labor/Supply Offset,-2592441,E,General Fund,65
2013,City Attorney,General Fund,Other Services and Supplies,388902,E,General Fund,66
2013,City Attorney,General Fund,Property,13750,E,General Fund,67
2013,City Attorney,Interdepartmental Service Fund,Labor/Supply Offset,1924546,E,General Fund,68
2013,City Attorney,Water Fund,Labor/Supply Offset,188263,E,Enterprise Funds,69
2013,City Attorney,Risk Management,Labor/Supply Offset,471112,E,Internal Service Funds,70
2013,City Attorney,Cty/Cnty Office-Water Planning,Labor/Supply Offset,10000,E,Other Governmental Funds,71
2013,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,General Fund,72
2013,City Clerk,General Fund,Employee Services,1245677,E,General Fund,73
2013,City Clerk,General Fund,Labor/Supply Offset,-413258,E,General Fund,74
2013,City Clerk,General Fund,Other Services and Supplies,502727,E,General Fund,75
2013,City Clerk,General Fund,Property,11000,E,General Fund,76
2013,City Clerk,Interdepartmental Service Fund,Labor/Supply Offset,417258,E,General Fund,77
2013,City Treasurer,General Fund,Contributions from Other Funds,1257000,R,General Fund,78
2013,City Treasurer,General Fund,Employee Services,1668288,E,General Fund,79
2013,City Treasurer,General Fund,Intergovernmental,1424000,R,General Fund,80
2013,City Treasurer,General Fund,Labor/Supply Offset,-305326,E,General Fund,81
2013,City Treasurer,General Fund,Other Services and Supplies,426467,E,General Fund,82
2013,City Treasurer,General Fund,Property,2000,E,General Fund,83
2013,City Treasurer,Interdepartmental Service Fund,Labor/Supply Offset,86809,E,General Fund,84
2013,City Treasurer,Assessment Bond Registration,"Charges, Fees, and Services",218867,R,Other Governmental Funds,85
2013,City Treasurer,Assessment Bond Registration,Labor/Supply Offset,218867,E,Other Governmental Funds,86
2013,Finance,General Fund,"Charges, Fees, and Services",70500,R,General Fund,87
2013,Finance,General Fund,Employee Services,6626341,E,General Fund,88
2013,Finance,General Fund,Fines Forfeitures Penalties,20000,R,General Fund,89
2013,Finance,General Fund,Intergovernmental,768851,R,General Fund,90
2013,Finance,General Fund,Labor/Supply Offset,-4043935,E,General Fund,91
2013,Finance,General Fund,Licenses  Permits,384000,R,General Fund,92
2013,Finance,General Fund,Miscellaneous Revenue,124000,R,General Fund,93
2013,Finance,General Fund,Other Services and Supplies,1874900,E,General Fund,94
2013,Finance,General Fund,Other Taxes,675000,R,General Fund,95
2013,Finance,General Fund,Property,17000,E,General Fund,96
2013,Finance,Interdepartmental Service Fund,Labor/Supply Offset,2317827,E,General Fund,97
2013,Finance,Major Street Construction,Other Taxes,500000,R,Other Governmental Funds,98
2013,Finance,Transportation Development,Intergovernmental,292601,R,Other Governmental Funds,99
2013,Finance,Power Inn Rd Md 2003-01,"Charges, Fees, and Services",7896,R,Other Governmental Funds,100
2013,General Services,Fleet Management,Labor/Supply Offset,1856677,E,Internal Service Funds,101
2013,General Services,Fleet Management,Miscellaneous Revenue,27979272,R,Internal Service Funds,102
2013,General Services,Fleet Management,Other Services and Supplies,17057417,E,Internal Service Funds,103
2013,General Services,Fleet Management,Property,11579887,E,Internal Service Funds,104
2013,Utilities,General Fund,Labor/Supply Offset,122410,E,General Fund,105
2013,Utilities,Northside Subdiv Maint Dist,Labor/Supply Offset,5000,E,Other Governmental Funds,106
2013,Utilities,Neighborhood Water Quality Dst,Labor/Supply Offset,25515,E,Other Governmental Funds,107
2013,Utilities,Willowcreek Assmnt Md,Labor/Supply Offset,19450,E,Other Governmental Funds,108
2013,Utilities,N Natomas Lands Cfd 3,Labor/Supply Offset,957323,E,Other Governmental Funds,109
2013,Utilities,Citywide Lndscpng&Lghting Dist,Labor/Supply Offset,137592,E,Other Governmental Funds,110
2013,Utilities,Golf Fund,Labor/Supply Offset,60000,E,Other Governmental Funds,111
2013,Utilities,Parking Fund,Labor/Supply Offset,1359,E,Enterprise Funds,112
2013,Utilities,Water Fund,"Charges, Fees, and Services",85087650,R,Enterprise Funds,113
2013,Utilities,Water Fund,Employee Services,23420792,E,Enterprise Funds,114
2013,Utilities,Water Fund,Intergovernmental,276357,R,Enterprise Funds,115
2013,Utilities,Water Fund,Labor/Supply Offset,566927,E,Enterprise Funds,116
2013,Utilities,Water Fund,Licenses  Permits,33239,R,Enterprise Funds,117
2013,Utilities,Water Fund,Operating Transfers,9489016,E,Enterprise Funds,118
2013,Utilities,Water Fund,Other Services and Supplies,22419949,E,Enterprise Funds,119
2013,Utilities,Water Fund,Property,1416858,E,Enterprise Funds,120
2013,Utilities,Wastewater Fund,"Charges, Fees, and Services",23062991,R,Enterprise Funds,121
2013,Utilities,Wastewater Fund,Employee Services,7828771,E,Enterprise Funds,122
2013,Utilities,Wastewater Fund,Intergovernmental,898225,R,Enterprise Funds,123
2013,Utilities,Wastewater Fund,Labor/Supply Offset,3494482,E,Enterprise Funds,124
2013,Utilities,Wastewater Fund,Operating Transfers,2391600,E,Enterprise Funds,125
2013,Utilities,Wastewater Fund,Other Services and Supplies,8310243,E,Enterprise Funds,126
2013,Utilities,Wastewater Fund,Property,592850,E,Enterprise Funds,127
2013,Utilities,Solid Waste and Recycling,Labor/Supply Offset,1878651,E,Enterprise Funds,128
2013,Utilities,Solid Waste and Recycling,Other Services and Supplies,2000,E,Enterprise Funds,129
2013,Utilities,Community Center Fund,Labor/Supply Offset,4983,E,Enterprise Funds,130
2013,Utilities,Storm Drainage Fund,"Charges, Fees, and Services",35013206,R,Enterprise Funds,131
2013,Utilities,Storm Drainage Fund,Employee Services,20014648,E,Enterprise Funds,132
2013,Utilities,Storm Drainage Fund,Labor/Supply Offset,-4790317,E,Enterprise Funds,133
2013,Utilities,Storm Drainage Fund,Operating Transfers,3812800,E,Enterprise Funds,134
2013,Utilities,Storm Drainage Fund,Other Services and Supplies,10690739,E,Enterprise Funds,135
2013,Utilities,Storm Drainage Fund,Property,1218704,E,Enterprise Funds,136
2013,Utilities,Water Grant Fund,Intergovernmental,423232,R,Enterprise Funds,137
2013,Utilities,Water Grant Fund,Other Services and Supplies,423232,E,Enterprise Funds,138
2013,Utilities,Storm Drainage Grant Fund,Intergovernmental,1039500,R,Enterprise Funds,139
2013,Utilities,Storm Drainage Grant Fund,Other Services and Supplies,1039500,E,Enterprise Funds,140
2013,Utilities,Fleet Management,Labor/Supply Offset,158979,E,Internal Service Funds,141
2013,Public Works,General Fund,"Charges, Fees, and Services",5720082,R,General Fund,142
2013,Public Works,General Fund,Debt Service,408518,E,General Fund,143
2013,Public Works,General Fund,Employee Services,31886484,E,General Fund,144
