Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2016,City Attorney,Storm Drainage Fund,Labor and Supply Offset,42018,E,Enterprise Funds,1600
2016,Finance,General Fund,Other Services and Supplies,1461645,E,General Fund,1601
2016,Finance,12th Street Maint Benefit Area,Labor and Supply Offset,2136,E,Other Governmental Funds,1602
2016,Finance,Assessment Bond Registration,Labor and Supply Offset,0,E,Other Governmental Funds,1603
2016,Finance,Cty/Cnty Office-Water Planning,Labor and Supply Offset,39000,E,Other Governmental Funds,1604
2016,Finance,Del Paso Nuevo Landscaping CFD,Labor and Supply Offset,3165,E,Other Governmental Funds,1605
2016,Finance,Del Paso Prop & Business Imprv,Labor and Supply Offset,2805,E,Other Governmental Funds,1606
2016,Finance,Downtown Management District,Labor and Supply Offset,4180,E,Other Governmental Funds,1607
2016,Finance,Franklin Boulevard PBID,Labor and Supply Offset,1593,E,Other Governmental Funds,1608
2016,Finance,Greater Broadway PBID,Labor and Supply Offset,1365,E,Other Governmental Funds,1609
2016,Finance,Handle BID No 2011-04,Other Services and Supplies,150000,E,Other Governmental Funds,1610
2016,Finance,Interdepartmental Service Fund,Labor and Supply Offset,2792360,E,Other Governmental Funds,1611
2016,Finance,Laguna Creek Maint Dist,Labor and Supply Offset,13255,E,Other Governmental Funds,1612
2016,Finance,Landscaping and Lighting,Labor and Supply Offset,254370,E,Other Governmental Funds,1613
2016,Finance,Mack Road PBID,Labor and Supply Offset,3730,E,Other Governmental Funds,1614
2016,Finance,Midtown Sacramento PBID,Labor and Supply Offset,4409,E,Other Governmental Funds,1615
2016,Finance,N Nat Lndscp 99-02,Labor and Supply Offset,21619,E,Other Governmental Funds,1616
2016,Finance,N Natomas Lands CFD 3,Labor and Supply Offset,28077,E,Other Governmental Funds,1617
2016,Finance,N Natomas Transp Mgmt Assoc,Labor and Supply Offset,19483,E,Other Governmental Funds,1618
2016,Finance,Natomas Central CFD 2006-02,Labor and Supply Offset,11735,E,Other Governmental Funds,1619
2016,Citywide and Community Support,New Measure A Maintenance,"Interest, Rents, and Concessions",24000,R,Other Governmental Funds,1620
2016,Citywide and Community Support,Del Paso Prop & Business Imprv,Other Services and Supplies,359593,E,Other Governmental Funds,1621
2016,Finance,Neighborhood Lighting Dist,Labor and Supply Offset,14462,E,Other Governmental Funds,1622
2016,Finance,Neighborhood Park Maint CFD,Labor and Supply Offset,18988,E,Other Governmental Funds,1623
2016,Finance,Neighborhood Water Quality Dist,Labor and Supply Offset,9862,E,Other Governmental Funds,1624
2016,Finance,Northside Subdiv Maint Dist,Labor and Supply Offset,5289,E,Other Governmental Funds,1625
2016,Finance,Oak Park PBID,Labor and Supply Offset,1932,E,Other Governmental Funds,1626
2016,Finance,Old Sacto Maint Dist,Labor and Supply Offset,2134,E,Other Governmental Funds,1627
2016,Finance,Power Inn Area Prop & Business,Labor and Supply Offset,3579,E,Other Governmental Funds,1628
2016,Finance,Power Inn Rd Md 2003-01,Labor and Supply Offset,5047,E,Other Governmental Funds,1629
2016,Finance,Railyards Maint CFD No 2014-04,Labor and Supply Offset,3180,E,Other Governmental Funds,1630
2016,Finance,Sac Tourism Marketing District,Labor and Supply Offset,103600,E,Other Governmental Funds,1631
2016,Finance,Special District Info/Rpt Sys,Labor and Supply Offset,54000,E,Other Governmental Funds,1632
2016,Finance,Special District Info/Rpt Sys,Other Services and Supplies,93993,E,Other Governmental Funds,1633
2016,Finance,Stockton Blvd PBID,Labor and Supply Offset,1315,E,Other Governmental Funds,1634
2016,Finance,Subdiv Lndscpng Maint Dist,Labor and Supply Offset,30527,E,Other Governmental Funds,1635
2016,Finance,Sutter Business Imprvmt Area,Other Services and Supplies,150000,E,Other Governmental Funds,1636
2016,Finance,The River District PBID,Labor and Supply Offset,2479,E,Other Governmental Funds,1637
2016,Finance,Township 9 CFD No. 2012-06,Labor and Supply Offset,1179,E,Other Governmental Funds,1638
2016,Finance,Village Garden N.-Mtce Dist #1,Labor and Supply Offset,8177,E,Other Governmental Funds,1639
2016,Finance,Willowcreek Assmnt Md,Labor and Supply Offset,7200,E,Other Governmental Funds,1640
2016,Finance,Willowcreek Lndscpng CFD,Labor and Supply Offset,3631,E,Other Governmental Funds,1641
2016,Finance,General Fund,"Charges, Fees, and Services",92293,R,General Fund,1642
2016,Finance,General Fund,"Fines, Forfeitures, and  Penalties",18000,R,General Fund,1643
2016,Finance,General Fund,Intergovernmental,657551,R,General Fund,1644
2016,Finance,General Fund,Licenses and Permits,386000,R,General Fund,1645
2016,Finance,General Fund,Miscellaneous Revenue,124000,R,General Fund,1646
2016,Finance,General Fund,Taxes,500000,R,General Fund,1647
2016,Finance,12th Street Maint Benefit Area,"Charges, Fees, and Services",11658,R,Other Governmental Funds,1648
2016,Finance,Assessment Bond Registration,"Charges, Fees, and Services",0,R,Other Governmental Funds,1649
2016,Finance,Del Paso Nuevo Landscaping CFD,"Charges, Fees, and Services",27493,R,Other Governmental Funds,1650
2016,Finance,Del Paso PBID,"Charges, Fees, and Services",35000,R,Other Governmental Funds,1651
2016,Finance,Del Paso Prop & Business Imprv,"Charges, Fees, and Services",362398,R,Other Governmental Funds,1652
2016,Parks and Recreation,4th R Program,Other Services and Supplies,938451,E,Other Governmental Funds,1653
2016,City Attorney,Wastewater Fund,Labor and Supply Offset,42018,E,Enterprise Funds,1654
2016,Human Resources,General Fund,Other Services and Supplies,693363,E,General Fund,1655
2016,Convention and Cultural Services,H Street Theater Fund,Miscellaneous Revenue,15000,R,Other Governmental Funds,1656
2016,Citywide and Community Support,New Measure A Maintenance,Taxes,10202000,R,Other Governmental Funds,1657
2016,Citywide and Community Support,Downtown Management District,Other Services and Supplies,2604960,E,Other Governmental Funds,1658
2016,Parks and Recreation,4th R Program,Transfers,16000,E,Other Governmental Funds,1659
2016,Finance,Downtown Management District,"Charges, Fees, and Services",2609140,R,Other Governmental Funds,1660
2016,City Attorney,Water Fund,Labor and Supply Offset,126055,E,Enterprise Funds,1661
2016,Human Resources,Fleet Management Fund,Labor and Supply Offset,31354,E,Internal Service Funds,1662
2016,Convention and Cultural Services,Old Sac Market,"Charges, Fees, and Services",60000,R,Other Governmental Funds,1663
2016,Citywide and Community Support,Quimby Act Fund,"Charges, Fees, and Services",100000,R,Other Governmental Funds,1664
2016,Citywide and Community Support,Downtown Plaza PBID,Other Services and Supplies,55000,E,Other Governmental Funds,1665
2016,Citywide and Community Support,Franklin Blvd PBID,Other Services and Supplies,57124,E,Other Governmental Funds,1666
2016,Citywide and Community Support,Franklin Boulevard PBID,Other Services and Supplies,139681,E,Other Governmental Funds,1667
2016,Citywide and Community Support,Gas Tax 2106,Other Services and Supplies,140000,E,Other Governmental Funds,1668
2016,Citywide and Community Support,Greater Broadway PBID,Other Services and Supplies,261090,E,Other Governmental Funds,1669
2016,Citywide and Community Support,Habitat Management Element,Operating Transfers,-205244,E,Other Governmental Funds,1670
2016,Citywide and Community Support,Habitat Management Element,Other Services and Supplies,1615731,E,Other Governmental Funds,1671
2016,Citywide and Community Support,Interdepartmental Service Fund,Labor and Supply Offset,1432376,E,Other Governmental Funds,1672
2016,Citywide and Community Support,Library Services Parcel Tax,Other Services and Supplies,7224460,E,Other Governmental Funds,1673
2016,Citywide and Community Support,Mack Road PBID,Other Services and Supplies,401253,E,Other Governmental Funds,1674
2016,Citywide and Community Support,Measure U Fund,City Property,1009900,E,Other Governmental Funds,1675
2016,Citywide and Community Support,Measure U Fund,Employee Services,34666527,E,Other Governmental Funds,1676
2016,Citywide and Community Support,Measure U Fund,Operating Transfers,340000,E,Other Governmental Funds,1677
2016,Citywide and Community Support,Measure U Fund,Other Services and Supplies,4277494,E,Other Governmental Funds,1678
2016,Citywide and Community Support,Midtown Sacramento PBID,Other Services and Supplies,659071,E,Other Governmental Funds,1679
2016,Citywide and Community Support,N Natomas Transp Mgmt Assoc,Other Services and Supplies,1100000,E,Other Governmental Funds,1680
2016,Citywide and Community Support,Oak Park PBID,Other Services and Supplies,232920,E,Other Governmental Funds,1681
2016,Citywide and Community Support,Old Sacramento PBID,Other Services and Supplies,175000,E,Other Governmental Funds,1682
2016,Citywide and Community Support,Power Inn Area Prop & Business,Other Services and Supplies,494688,E,Other Governmental Funds,1683
2016,Citywide and Community Support,Sac Tourism Marketing District,Other Services and Supplies,5076400,E,Other Governmental Funds,1684
2016,Citywide and Community Support,START Fund,Employee Services,7751,E,Other Governmental Funds,1685
2016,Citywide and Community Support,Stockton Blvd BIA,Other Services and Supplies,46520,E,Other Governmental Funds,1686
2016,Citywide and Community Support,Stockton Blvd PBID,Other Services and Supplies,310947,E,Other Governmental Funds,1687
2016,Citywide and Community Support,The River District PBID,Other Services and Supplies,447687,E,Other Governmental Funds,1688
2016,Citywide and Community Support,Risk Mgmt Fund,Employee Services,14664,E,Risk Management,1689
2016,Citywide and Community Support,Worker's Compensation Fund,Employee Services,16236,E,Risk Management,1690
2016,Citywide and Community Support,Community Center Fund,"Interest, Rents, and Concessions",400000,R,Enterprise Funds,1691
2016,Citywide and Community Support,Parking Fund,"Interest, Rents, and Concessions",600000,R,Enterprise Funds,1692
2016,Citywide and Community Support,Storm Drainage Fund,"Interest, Rents, and Concessions",422000,R,Enterprise Funds,1693
2016,Citywide and Community Support,Wastewater Fund,"Interest, Rents, and Concessions",392000,R,Enterprise Funds,1694
2016,Citywide and Community Support,Water Fund,"Interest, Rents, and Concessions",400000,R,Enterprise Funds,1695
2016,Citywide and Community Support,General Fund,"Charges, Fees, and Services",6538420,R,General Fund,1696
2016,Citywide and Community Support,General Fund,Contributions from Other Funds,27391000,R,General Fund,1697
2016,Citywide and Community Support,General Fund,"Interest, Rents, and Concessions",425000,R,General Fund,1698
2016,Citywide and Community Support,General Fund,Intergovernmental,2196000,R,General Fund,1699
2016,Citywide and Community Support,General Fund,Licenses and Permits,1293551,R,General Fund,1700
2016,Citywide and Community Support,General Fund,Miscellaneous Revenue,0,R,General Fund,1701
2016,Citywide and Community Support,General Fund,Taxes,283856415,R,General Fund,1702
2016,Citywide and Community Support,Cty/Cnty Office-Water Planning,Intergovernmental,664083,R,Other Governmental Funds,1703
2016,Citywide and Community Support,Gas Tax 2106,"Interest, Rents, and Concessions",180000,R,Other Governmental Funds,1704
2016,Citywide and Community Support,Gas Tax 2106,Intergovernmental,12000000,R,Other Governmental Funds,1705
2016,Citywide and Community Support,Habitat Management Element,Intergovernmental,410487,R,Other Governmental Funds,1706
2016,Citywide and Community Support,Library Services Parcel Tax,"Charges, Fees, and Services",7224460,R,Other Governmental Funds,1707
2016,Citywide and Community Support,Major Street Construction Fund,"Interest, Rents, and Concessions",163000,R,Other Governmental Funds,1708
2016,Citywide and Community Support,Marina Fund,"Interest, Rents, and Concessions",18000,R,Other Governmental Funds,1709
2016,Citywide and Community Support,Measure U Fund,Taxes,42046000,R,Other Governmental Funds,1710
2016,Citywide and Community Support,New Measure A Construction,"Interest, Rents, and Concessions",40000,R,Other Governmental Funds,1711
